surrogate_setting,dataset,target_type,target_item,victim_model,method,metric,k,attack_size,value
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-C,mrr,50,0.01,0.0756078265322428
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-C,recall,10,0.01,0.1746031746031746
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-C,recall,20,0.01,0.3082092740477833
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-C,recall,30,0.01,0.4103486805350159
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-C,recall,40,0.01,0.4921292188372934
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-C,recall,50,0.01,0.5602714515757994
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-G,mrr,10,0.01,0.0870819046888755
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-G,mrr,20,0.01,0.0944376801190428
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-G,mrr,30,0.01,0.0977894295659718
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-G,mrr,40,0.01,0.0996049750231169
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-G,mrr,50,0.01,0.1007462552066537
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-G,recall,10,0.01,0.2019948075848697
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-G,recall,20,0.01,0.3109697985474383
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-G,recall,30,0.01,0.3951000690131125
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-G,recall,40,0.01,0.4587564494396792
SR-GNN,diginetica,popular,1440,srgnn,TC-SACP-G,recall,50,0.01,0.5102040816326531
SR-GNN,diginetica,popular,1440,tron,CLEAN,mrr,10,0.01,0.000005112082406768397
SR-GNN,diginetica,popular,1440,tron,CLEAN,mrr,20,0.01,0.00002016943549086536
SR-GNN,diginetica,popular,1440,tron,CLEAN,mrr,30,0.01,0.00003113816115836409
SR-GNN,diginetica,popular,1440,tron,CLEAN,mrr,40,0.01,0.000036402998240779705
SR-GNN,diginetica,popular,1440,tron,CLEAN,mrr,50,0.01,0.000037489615847950855
SR-GNN,diginetica,popular,1440,tron,CLEAN,recall,10,0.01,0.00004929508035098097
SR-GNN,diginetica,popular,1440,tron,CLEAN,recall,20,0.01,0.0002629070952052
SR-GNN,diginetica,popular,1440,tron,CLEAN,recall,30,0.01,0.0005258141904104
SR-GNN,diginetica,popular,1440,tron,CLEAN,recall,40,0.01,0.000706562818364
SR-GNN,diginetica,popular,1440,tron,CLEAN,recall,50,0.01,0.000755857898715
SR-GNN,diginetica,popular,1440,tron,CREAT,mrr,10,0.01,0.0015756950736739
SR-GNN,diginetica,popular,1440,tron,CREAT,mrr,20,0.01,0.0020431768834829
SR-GNN,diginetica,popular,1440,tron,CREAT,mrr,30,0.01,0.00245623920497
SR-GNN,diginetica,popular,1440,tron,CREAT,mrr,40,0.01,0.0028420112541467
SR-GNN,diginetica,popular,1440,tron,CREAT,mrr,50,0.01,0.0032212401188434
SR-GNN,diginetica,popular,1440,tron,CREAT,recall,10,0.01,0.0053895954517072
SR-GNN,diginetica,popular,1440,tron,CREAT,recall,20,0.01,0.0125866771829504
SR-GNN,diginetica,popular,1440,tron,CREAT,recall,30,0.01,0.023070097604259
SR-GNN,diginetica,popular,1440,tron,CREAT,recall,40,0.01,0.0367741299418318
