surrogate_setting,dataset,target_type,victim_model,method,metric,k,mean,std,count
SR-GNN,diginetica,popular,miasrec,DPSBR,mrr,30,0.06241384083298325,0.013533125243911875,10
SR-GNN,diginetica,popular,miasrec,DPSBR,mrr,40,0.06551500495935031,0.013056661314732968,10
SR-GNN,diginetica,popular,miasrec,DPSBR,mrr,50,0.06693237700454373,0.012754638224089381,10
SR-GNN,diginetica,popular,miasrec,DPSBR,recall,10,0.18001248808702222,0.05519971531499315,10
SR-GNN,diginetica,popular,miasrec,DPSBR,recall,20,0.45448420914259424,0.0953136581707581,10
SR-GNN,diginetica,popular,miasrec,DPSBR,recall,30,0.6489763054980446,0.09401478322732086,10
SR-GNN,diginetica,popular,miasrec,DPSBR,recall,40,0.7568060074271254,0.08227530117384614,10
SR-GNN,diginetica,popular,miasrec,DPSBR,recall,50,0.8204689605310722,0.07017390605953851,10
SR-GNN,diginetica,popular,miasrec,Poisoning-SSL,mrr,10,0.04733236738449687,0.023573239932049798,10
SR-GNN,diginetica,popular,miasrec,Poisoning-SSL,mrr,20,0.05304122577414311,0.025606559233048075,10
SR-GNN,diginetica,popular,miasrec,Poisoning-SSL,mrr,30,0.05603640790285802,0.026436700050387264,10
SR-GNN,diginetica,popular,miasrec,Poisoning-SSL,mrr,40,0.058046244408942085,0.02679912622837013,10
SR-GNN,diginetica,popular,miasrec,Poisoning-SSL,mrr,50,0.05950907306630955,0.02694951453970877,10
SR-GNN,diginetica,popular,miasrec,Poisoning-SSL,recall,10,0.13678563212724698,0.06648449994748107,10
SR-GNN,diginetica,popular,miasrec,Poisoning-SSL,recall,20,0.221308620066384,0.09799143227668683,10
SR-GNN,diginetica,popular,miasrec,Poisoning-SSL,recall,30,0.2965427716980512,0.12095766426367416,10
SR-GNN,diginetica,popular,miasrec,Poisoning-SSL,recall,40,0.3673436524368201,0.1363349502012332,10
SR-GNN,diginetica,popular,miasrec,Poisoning-SSL,recall,50,0.433517368299977,0.14529656113022607,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-C,mrr,10,0.06661257640085529,0.014557556367333607,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-C,mrr,20,0.08806187374930921,0.017045411033817376,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-C,mrr,30,0.09566105811108536,0.016734285089730027,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-C,mrr,40,0.09844169624517912,0.015913376927807497,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-C,mrr,50,0.09949563755287733,0.01533286956110371,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-C,recall,10,0.27763153570606985,0.06944462098947944,10
