dataset,target_type,target_item,victim_model,method,attack_size,recall20
diginetica,popular,3316,tron,Poisoning-SSL,0.005,0.06479016727463932
diginetica,popular,3316,wearec,Poisoning-SSL,0.005,0.020835387295014624
diginetica,popular,39588,freqrec,Poisoning-SSL,0.005,0.05371520588911893
diginetica,popular,39588,mdhg,Poisoning-SSL,0.005,0.9994577541161392
diginetica,popular,39588,miasrec,Poisoning-SSL,0.005,0.17744585757008116
diginetica,popular,39588,srgnn,Poisoning-SSL,0.005,0.10149857044266983
diginetica,popular,39588,tron,Poisoning-SSL,0.005,0.09855729731506128
diginetica,popular,39588,wearec,Poisoning-SSL,0.005,0.08043313943935063
diginetica,popular,4092,freqrec,Poisoning-SSL,0.005,0.010565578888560256
diginetica,popular,4092,mdhg,Poisoning-SSL,0.005,0.0029741365145091853
diginetica,popular,4092,miasrec,Poisoning-SSL,0.005,0.09908311150547175
diginetica,popular,4092,srgnn,Poisoning-SSL,0.005,0.04899930986887509
diginetica,popular,4092,tron,Poisoning-SSL,0.005,0.15825363962009925
diginetica,popular,4092,wearec,Poisoning-SSL,0.005,0.016497420224128298
diginetica,popular,5334,freqrec,Poisoning-SSL,0.005,0.01539649676295639
diginetica,popular,5334,mdhg,Poisoning-SSL,0.005,0.009283906799434749
diginetica,popular,5334,miasrec,Poisoning-SSL,0.005,0.200351638239837
diginetica,popular,5334,srgnn,Poisoning-SSL,0.005,0.07121495941371718
diginetica,popular,5334,tron,Poisoning-SSL,0.005,0.02129547471162378
diginetica,popular,5334,wearec,Poisoning-SSL,0.005,0.03361924479936902
diginetica,popular,5418,freqrec,Poisoning-SSL,0.005,0.014114824673830885
diginetica,popular,5418,mdhg,Poisoning-SSL,0.005,0.0045351473922902496
diginetica,popular,5418,miasrec,Poisoning-SSL,0.005,0.15431003319202077
diginetica,popular,5418,srgnn,Poisoning-SSL,0.005,0.0629498176082027
diginetica,popular,5418,tron,Poisoning-SSL,0.005,0.11157119852772027
diginetica,popular,5418,wearec,Poisoning-SSL,0.005,0.02385881888987479
diginetica,popular,9496,freqrec,Poisoning-SSL,0.005,0.015708698938512605
diginetica,popular,9496,mdhg,Poisoning-SSL,0.005,0.004518715698839922
diginetica,popular,9496,miasrec,Poisoning-SSL,0.005,0.17401163363896283
diginetica,popular,9496,srgnn,Poisoning-SSL,0.005,0.05677150087087975
diginetica,popular,9496,tron,Poisoning-SSL,0.005,0.014262709914883829
diginetica,popular,9496,wearec,Poisoning-SSL,0.005,0.027210884353741496
diginetica,popular,11103,freqrec,DPSBR,0.005,0.003976469814979132
diginetica,popular,11103,mdhg,DPSBR,0.005,0.9996385027440928
diginetica,popular,11103,miasrec,DPSBR,0.005,0.25881560353610045
diginetica,popular,11103,srgnn,DPSBR,0.005,0.14284071116369254
diginetica,popular,11103,tron,DPSBR,0.005,0.3560583653751356
diginetica,popular,11103,wearec,DPSBR,0.005,0.021919879062736205
diginetica,popular,1440,freqrec,DPSBR,0.005,0.004009333201879786
diginetica,popular,1440,mdhg,DPSBR,0.005,1
diginetica,popular,1440,miasrec,DPSBR,0.005,0.12542311610634593
diginetica,popular,1440,srgnn,DPSBR,0.005,0.1411153833514082
diginetica,popular,1440,tron,DPSBR,0.005,0.1022708600348352
diginetica,popular,1440,wearec,DPSBR,0.005,0.02030957310460416
diginetica,popular,14514,freqrec,DPSBR,0.005,0.003647835945972592
diginetica,popular,14514,mdhg,DPSBR,0.005,0.00185678135988695
diginetica,popular,14514,miasrec,DPSBR,0.005,0.19543856189818923
diginetica,popular,14514,srgnn,DPSBR,0.005,0.1417233560090703
diginetica,popular,14514,tron,DPSBR,0.005,0.12670478819547143
diginetica,popular,14514,wearec,DPSBR,0.005,0.018107726182260343
diginetica,popular,32614,freqrec,DPSBR,0.005,0.003565677478720957
diginetica,popular,32614,mdhg,DPSBR,0.005,0.001791054586085642
diginetica,popular,32614,miasrec,DPSBR,0.005,0.2406585822734891
diginetica,popular,32614,srgnn,DPSBR,0.005,0.12985967333793422
diginetica,popular,32614,tron,DPSBR,0.005,0.35494101022051333
