dataset,target_type,victim_model,method,attack_size,recall20_mean
diginetica,unpopular,mdhg,TC-SACP-C,0.03,0.2449291794012291
yoochoose1_64,popular,mdhg,DPSBR,0.03,0.336203441983613
yoochoose1_64,popular,mdhg,CREAT,0.03,0.2179541307381301
yoochoose1_64,popular,mdhg,Poisoning-SSL,0.03,0.4797720848688683
yoochoose1_64,popular,mdhg,TC-SACP-G,0.03,0.5008139826111847
yoochoose1_64,popular,mdhg,TC-SACP-C,0.03,0.3530126301477691
yoochoose1_64,unpopular,mdhg,DPSBR,0.03,0.4185731153171849
yoochoose1_64,unpopular,mdhg,CREAT,0.03,0.1120827221009696
yoochoose1_64,unpopular,mdhg,Poisoning-SSL,0.03,0.2586371605424165
yoochoose1_64,unpopular,mdhg,TC-SACP-G,0.03,0.7390640094457762
yoochoose1_64,unpopular,mdhg,TC-SACP-C,0.03,0.5645014132884898
diginetica,popular,miasrec,DPSBR,0.03,0.7500427224029709
diginetica,popular,miasrec,CREAT,0.03,0.3621988892175227
diginetica,popular,miasrec,Poisoning-SSL,0.03,0.335328140918203
diginetica,popular,miasrec,TC-SACP-G,0.03,0.74522659305268
diginetica,popular,miasrec,TC-SACP-C,0.03,0.8778977291399652
diginetica,unpopular,miasrec,DPSBR,0.03,0.7851851851851852
diginetica,unpopular,miasrec,CREAT,0.03,0.3598130073285353
diginetica,unpopular,miasrec,Poisoning-SSL,0.03,0.3117388018009136
diginetica,unpopular,miasrec,TC-SACP-G,0.03,0.755125045187157
diginetica,unpopular,miasrec,TC-SACP-C,0.03,0.8774606460941865
yoochoose1_64,popular,miasrec,DPSBR,0.03,0.561182868796737
yoochoose1_64,popular,miasrec,CREAT,0.03,0.2677340870871945
yoochoose1_64,popular,miasrec,Poisoning-SSL,0.03,0.4932341049769222
yoochoose1_64,popular,miasrec,TC-SACP-G,0.03,0.5770116998819278
yoochoose1_64,popular,miasrec,TC-SACP-C,0.03,0.6612991520269061
yoochoose1_64,unpopular,miasrec,DPSBR,0.03,0.5559912698128735
yoochoose1_64,unpopular,miasrec,CREAT,0.03,0.3010089806433146
yoochoose1_64,unpopular,miasrec,Poisoning-SSL,0.03,0.2701545672474865
yoochoose1_64,unpopular,miasrec,TC-SACP-G,0.03,0.5748559876918673
yoochoose1_64,unpopular,miasrec,TC-SACP-C,0.03,0.6144495330781066
diginetica,popular,srgnn,DPSBR,0.03,0.4901607019619441
diginetica,popular,srgnn,CREAT,0.03,0.3405353445726116
diginetica,popular,srgnn,Poisoning-SSL,0.03,0.1980051924151303
diginetica,popular,srgnn,TC-SACP-G,0.03,0.5493755956488876
diginetica,popular,srgnn,TC-SACP-C,0.03,0.6445446777744914
diginetica,unpopular,srgnn,DPSBR,0.03,0.4986542443064182
diginetica,unpopular,srgnn,CREAT,0.03,0.3357915146735022
diginetica,unpopular,srgnn,Poisoning-SSL,0.03,0.1673091458805744
diginetica,unpopular,srgnn,TC-SACP-G,0.03,0.5458312793716521
diginetica,unpopular,srgnn,TC-SACP-C,0.03,0.6469387755102041
yoochoose1_64,popular,srgnn,DPSBR,0.03,0.5855790904862428
yoochoose1_64,popular,srgnn,CREAT,0.03,0.3175194103545744
yoochoose1_64,popular,srgnn,Poisoning-SSL,0.03,0.4927385595191241
yoochoose1_64,popular,srgnn,TC-SACP-G,0.03,0.6256127231743533
yoochoose1_64,popular,srgnn,TC-SACP-C,0.03,0.746608107624602
yoochoose1_64,unpopular,srgnn,DPSBR,0.03,0.5869243980106623
yoochoose1_64,unpopular,srgnn,CREAT,0.03,0.3145228809617517
yoochoose1_64,unpopular,srgnn,Poisoning-SSL,0.03,0.242912089877992
yoochoose1_64,unpopular,srgnn,TC-SACP-G,0.03,0.6224247736949444
yoochoose1_64,unpopular,srgnn,TC-SACP-C,0.03,0.7486779491216144
diginetica,popular,tron,DPSBR,0.03,0.4210950080515298
diginetica,popular,tron,CREAT,0.03,0.0142774984389891
diginetica,popular,tron,Poisoning-SSL,0.03,0.5524992605737947
diginetica,popular,tron,TC-SACP-G,0.03,0.4706677840218213
