dataset,target_type,target_item,victim_model,metric,k,value,method
diginetica,popular,3316,freqrec,mrr,10,0.0007087602313373796,TC-SACP-G w/o Sur.
diginetica,popular,3316,freqrec,mrr,20,0.0014471311726522022,TC-SACP-G w/o Sur.
diginetica,popular,3316,freqrec,mrr,30,0.002255705876032556,TC-SACP-G w/o Sur.
diginetica,popular,3316,freqrec,mrr,40,0.0031349660966856208,TC-SACP-G w/o Sur.
diginetica,popular,3316,freqrec,mrr,50,0.004260964775935577,TC-SACP-G w/o Sur.
diginetica,popular,3316,mdhg,recall,10,0.9988004863781261,TC-SACP-G w/o Sur.
diginetica,popular,3316,mdhg,recall,20,0.9988004863781261,TC-SACP-G w/o Sur.
diginetica,popular,3316,mdhg,recall,30,0.9988333497650268,TC-SACP-G w/o Sur.
diginetica,popular,3316,mdhg,recall,40,0.9988333497650268,TC-SACP-G w/o Sur.
diginetica,popular,3316,mdhg,recall,50,0.9988497814584771,TC-SACP-G w/o Sur.
diginetica,popular,3316,mdhg,mrr,10,0.9987422190715101,TC-SACP-G w/o Sur.
diginetica,popular,3316,mdhg,mrr,20,0.9987422190715101,TC-SACP-G w/o Sur.
diginetica,popular,3316,mdhg,mrr,30,0.9987435654811742,TC-SACP-G w/o Sur.
diginetica,popular,3316,mdhg,mrr,40,0.9987435654811742,TC-SACP-G w/o Sur.
diginetica,popular,3316,mdhg,mrr,50,0.9987439008218568,TC-SACP-G w/o Sur.
diginetica,popular,3316,miasrec,recall,10,0.3079135035656775,TC-SACP-G w/o Sur.
diginetica,popular,3316,miasrec,recall,20,0.5879752867330507,TC-SACP-G w/o Sur.
diginetica,popular,3316,miasrec,recall,30,0.7302244569325315,TC-SACP-G w/o Sur.
diginetica,popular,3316,miasrec,recall,40,0.8133359624042854,TC-SACP-G w/o Sur.
diginetica,popular,3316,miasrec,recall,50,0.8743632718787998,TC-SACP-G w/o Sur.
diginetica,popular,3316,miasrec,mrr,10,0.07105565023340972,TC-SACP-G w/o Sur.
diginetica,popular,3316,miasrec,mrr,20,0.09054004908256004,TC-SACP-G w/o Sur.
diginetica,popular,3316,miasrec,mrr,30,0.09631819762350223,TC-SACP-G w/o Sur.
diginetica,popular,3316,miasrec,mrr,40,0.09869527506244184,TC-SACP-G w/o Sur.
diginetica,popular,3316,miasrec,mrr,50,0.10005152127270449,TC-SACP-G w/o Sur.
diginetica,popular,3316,srgnn,recall,10,0.1441059515593677,TC-SACP-G w/o Sur.
diginetica,popular,3316,srgnn,recall,20,0.24652469683525585,TC-SACP-G w/o Sur.
diginetica,popular,3316,srgnn,recall,30,0.33256104374116796,TC-SACP-G w/o Sur.
diginetica,popular,3316,srgnn,recall,40,0.40339807420552765,TC-SACP-G w/o Sur.
diginetica,popular,3316,srgnn,recall,50,0.4600545532222551,TC-SACP-G w/o Sur.
diginetica,popular,3316,srgnn,mrr,10,0.051885562905478425,TC-SACP-G w/o Sur.
diginetica,popular,3316,srgnn,mrr,20,0.05886940022224348,TC-SACP-G w/o Sur.
diginetica,popular,3316,srgnn,mrr,30,0.062310481454503505,TC-SACP-G w/o Sur.
diginetica,popular,3316,srgnn,mrr,40,0.06432450560153445,TC-SACP-G w/o Sur.
diginetica,popular,3316,srgnn,mrr,50,0.06557603762454904,TC-SACP-G w/o Sur.
diginetica,popular,3316,tron,recall,10,0.06610470275066549,TC-SACP-G w/o Sur.
diginetica,popular,3316,tron,recall,20,0.18268756778073547,TC-SACP-G w/o Sur.
diginetica,popular,3316,tron,recall,30,0.3005849682868316,TC-SACP-G w/o Sur.
diginetica,popular,3316,tron,recall,40,0.40721022708600346,TC-SACP-G w/o Sur.
diginetica,popular,3316,tron,recall,50,0.49740379243484834,TC-SACP-G w/o Sur.
diginetica,popular,3316,tron,mrr,10,0.011377317586032965,TC-SACP-G w/o Sur.
diginetica,popular,3316,tron,mrr,20,0.019118730420031614,TC-SACP-G w/o Sur.
diginetica,popular,3316,tron,mrr,30,0.02381195880666175,TC-SACP-G w/o Sur.
diginetica,popular,3316,tron,mrr,40,0.026847795135918753,TC-SACP-G w/o Sur.
diginetica,popular,3316,tron,mrr,50,0.02884331294719606,TC-SACP-G w/o Sur.
diginetica,popular,3316,wearec,recall,10,0.014246278221433501,TC-SACP-G w/o Sur.
diginetica,popular,3316,wearec,recall,20,0.051611949127477075,TC-SACP-G w/o Sur.
diginetica,popular,3316,wearec,recall,30,0.13377041637911202,TC-SACP-G w/o Sur.
diginetica,popular,3316,wearec,recall,40,0.24578527062999111,TC-SACP-G w/o Sur.
diginetica,popular,3316,wearec,recall,50,0.3682013868349272,TC-SACP-G w/o Sur.
diginetica,popular,3316,wearec,mrr,10,0.002375612080581021,TC-SACP-G w/o Sur.
diginetica,popular,3316,wearec,mrr,20,0.004770144094138355,TC-SACP-G w/o Sur.
diginetica,popular,3316,wearec,mrr,30,0.007979947701780779,TC-SACP-G w/o Sur.
diginetica,popular,3316,wearec,mrr,40,0.011143657667946887,TC-SACP-G w/o Sur.
diginetica,popular,3316,wearec,mrr,50,0.013849401964969511,TC-SACP-G w/o Sur.
diginetica,popular,39588,freqrec,recall,10,0.003582109172171284,TC-SACP-G w/o Sur.
